CAS	Name	A	B	C	Tmin	Tmax
1660-05-5	1-Adamantyl ethyl ketone	29.68036790039511	14200.083715025956	230.42	395.0	492.0
1671-75-6	1-Phenyl-1-heptanone	25.584069019958704	7525.290180242397	-9.306	373.0	544.0
1674-33-5	1,2-Dichloropentane	20.96708657244355	3394.940671450793	-61.766	332.0	422.0
1675-69-0	Azelaic acid dinitrile	29.06161723420575	9673.159975667986	0.0	308.0	341.0
1678-80-4	r-1, c-2, c-4-Trimethylcyclohexane	21.216019046847137	3837.027798965278	-23.15	305.0	449.0
1678-81-5	r-1, t-2, c-3-Trimethylcyclohexane	21.21486775430064	3832.8831457978886	-23.15	304.0	448.0
1678-91-7	Ethylcyclohexane	20.654648801175192	3153.1830521969764	-59.55	301.0	433.0
1678-92-8	Propylcyclohexane	20.760844025664078	3369.579999236557	-64.985	321.0	459.0
1678-93-9	Butylcyclohexane	20.81237588004528	3547.6619303287166	-72.06	340.0	484.0
1678-98-4	Isobutylcyclohexane	20.70083865814065	3434.8260504316363	-70.085	357.0	445.0
1679-06-7	2-Hexanethiol	20.467218374605473	3000.98217755007	-76.45	310.0	440.0
1679-07-8	Cyclopentanethiol	20.806389158803498	3192.1957514275746	-61.32	354.0	446.0
1679-08-9	2,2-Dimethyl-1-propanethiol	20.6425832552879	2934.2993132569623	-54.963	280.0	403.0
1679-09-0	2-Methyl-2-butanethiol	20.615666035550802	2889.4910073472984	-54.391	276.0	398.0
1680-51-9	6-Methyl-1,2,3,4-tetrahydro-naphthalene	19.33591226671564	2778.6698894065876	-146.414	373.0	502.0
1683-83-6	4BrF6N Ethylamine, 2-bromo-N,N-bis(tri-	21.90034733648497	3717.4683705966554	-0.585	322.0	356.0
1685-82-1	4,6-Dimethylindane	21.660901512664516	4389.093298276438	-64.054	313.0	423.0
1686-22-2	Triethyl vanadate	14.466520441306482	920.41233922251	-240.46	336.0	367.0
1689-82-3	4-Hydroxy-azobenzene	30.027436551462102	10187.133809785746	0.0	433.0	524.0
1693-44-3	1,1-Diphenyl-hexamethyl-cyclotetrasiloxane	23.997081322165347	7506.42740316059	0.0	293.0	353.0
1693-47-6	2,2,4,4-Tetramethyl-6,6,8,8-tetraphenyl-cyclotetrasiloxane	22.869505402126162	8366.212676884566	0.0	293.0	353.0
1693-48-7	2,2,6,6-Tetramethyl-4,4,8,8-tetraphenyl-cyclotetrasiloxane	23.035752045840333	8354.008975891698	0.0	293.0	353.0
1696-17-9	N,N-Diethyl-benzamide	23.205314412088413	6769.151169309361	0.0	374.0	405.0
1704-62-7	2-[2-(Dimethyl-amino)ethoxy] ethanol	23.831018885258615	5289.206047319111	-43.201	361.0	451.0
1708-34-5	2-Hexyl-1,3-dioxolane	25.89003652711575	6599.2088765209355	0.0	318.0	453.0
1712-64-7	Isopropyl nitrate	21.624083177027543	3302.80503153973	-47.948	273.0	343.0
1717-00-6	1,1-Dichloro-1-fluoroethane	20.09035427243514	2051.1197749881662	-65.479	200.0	400.0
1717-50-6	2,2,4,4-Tetrafluoro-1,3-dithietane	22.484513174577557	3509.139681722926	0.0	293.0	353.0
1718-18-9	Bis(trifluoromethyl)trioxide	24.434134998666547	3671.269303290823	28.226	191.0	250.0
1719-53-5	Dichlorodiethylsilane	21.18843407743307	3414.7336929101702	-50.15	321.0	401.0
1719-57-9	Chloro(chloromethyl)dimethylsilane	25.696619379304252	6067.311720039311	40.85	318.0	391.0
1720-11-2	2-Methyldotriacontane	21.82735538903706	5724.917316711097	-186.95	480.0	743.0
1720-12-3	2-Methylhentriacontane	21.799954626430427	5659.523900070066	-183.85	474.0	735.0
1724-39-6	Cyclododecanol	18.761923854734086	2761.515630463782	-181.828	405.0	495.0
1725-00-4	1,8-Dioxa-9-cyclononadecanone	34.75883445224813	18231.806596529346	180.894	403.0	463.0
1725-03-7	Oxacyclo-dodecan-2-one	28.17484566319188	8019.9568383554015	-8.616	293.0	373.0
1725-04-8	Oxa-2-cyclo-tetradecanone	26.202451272533185	7983.170738909728	-1.55	293.0	443.0
1731-84-6	Nonanoic acid methyl ester	21.054676909381044	3733.013122559458	-95.503	352.0	439.0
1731-86-8	Methyl undecanoate	21.443836815947968	4212.779752535697	-98.32	352.0	472.0
1731-88-0	Methyl tridecanoate	20.802589893400054	4005.5793303575356	-126.296	378.0	503.0
1731-92-6	Methyl heptadecanoate	19.42087765664712	3541.431135067074	-178.126	421.0	524.0
1731-94-8	Methyl nonadecanoate	17.971124030396208	2898.9753553453406	-219.771	441.0	521.0
1736-09-0	Trifluoroacetic acid 3-methylphenyl ester	22.366574766114404	4165.802411468433	-55.943	363.0	439.0
1737-76-4	1,1,1,2-Tetrafluoro-3-iodopropane	21.1144750442461	3421.641448189152	0.0	295.0	356.0
1738-25-6	3-(Dimethylamino) propionitrile	18.860958039583757	2305.622202731705	-136.712	332.0	406.0
