CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
13968-08-6	Hydronium, Ion	H3O+					581158.0	606607.0	192.257	35.146
13983-20-5	Hydrogen-D	HD					320.0	-1463.0	143.803	29.2
13986-26-0	Zirconium Iodide	I4Zr					-362334.0	-414633.0	446.563	104.589
14034-79-8	Hypofluorous Acid	HFO					-98324.0	-85642.0	226.772	35.929
14041-22-6	Difluorooxosilane	F2OSi					-966504.0	-950721.0	271.247	53.689
14049-36-6	Chlorotrifluorosilane	ClF3Si					-1317960.0	-1280434.0	308.679	79.372
14055-74-4	Molybdenum Iodide	I2Mo					257733.99999999997	199731.0	339.29	70.717
14055-75-5	Molybdenum Iodide	I3Mo					182841.0	122998.0	403.532	81.513
14055-76-6	Molybdenum Iodide	I4Mo					124683.0	67461.0	452.812	104.869
14067-02-8	Iron, Ion	Fe+					1181144.0	1128814.0	181.857	26.068
14067-03-9	Chromium, Ion	Cr+					1056480.0	1005678.0	173.029	20.786
14067-04-0	Titanium, Ion	Ti+					1138252.0	1086429.0	183.594	26.181
14067-05-1	Carbon, Ion	C+					1809435.0	1758779.0	154.662	20.974
14067-07-3	Silicon, Ion	Si+					1242505.0	1193136.0	163.426	24.338
14075-53-7	Potassium Tetrafluoroborate	BF4K	-1869415.0	-1772232.0	150.129	167.117	-1552264.0	-1504354.0	315.394	88.941
14100-65-3	Boron Oxide, Ion	BO2-					-694544.0	-689762.0	215.922	39.119
14102-48-8	Calcium, Ion	Ca+					773828.0	732075.0	160.649	20.786
14127-69-6	Manganese, Ion	Mn+					1006986.0	958100.0	174.997	20.786
14158-23-7	Nitrogen, Ion	N+					1882130.0	1856796.0	159.797	21.284
14234-48-1	Helium, Ion	He+					2378522.0	2370549.0	131.913	20.786
14257-55-7	Sulfur Fluoride, Ion	F4S+					416044.0	447346.0	311.671	80.395
14280-30-9	Hydroxyl, Ion	HO-					-143595.0	-138698.0	172.469	29.141
14332-28-6	Nitrosyl Hydride	HNO					99579.0	112398.0	220.722	34.64
14332-53-7	Magnesium Hydride	HMg					169034.0	140653.0	193.2	29.583
14332-62-8	Magnesium Iodide	IMg					24614.0	-23658.0	252.647	36.178
14333-26-7	Hydrofluoric Acid-D	DF					-275516.0	-277254.0	179.702	29.137
14337-00-9	Carbon, Ion	C-					588284.0	551115.0	151.384	20.786
14337-01-0	Oxygen, Ion	O-					101846.0	91638.0	157.79	21.692
14337-02-1	Silicon, Ion	Si-					308819.0	272391.0	161.977	20.786
14337-03-2	Sulfur, Ion	S-					70180.0	36822.0	164.918	22.783
14343-69-2	Azide	N3					414216.0	432387.0	226.469	40.762
14362-44-8	Iodine	I					106762.0	70174.0	180.786	20.786
14452-59-6	Lithium	Li2					215900.0	174508.0	196.998	36.103
14452-60-9	Beryllium	Be2					637161.0	581249.0	206.41	27.492
14452-61-0	Boron	B2					829687.0	772918.0	202.072	31.594
14452-64-3	Borane	H2B					200832.0	187809.0	180.195	34.026
14452-66-5	Phosphorus Oxide	OP					-23548.0	-47139.0	222.776	31.762
14452-69-8	Deuterium, Ion	D-					142753.0	135559.0	117.59	20.786
14452-81-4	Lead Hydride	HPb					236187.0	209165.0	220.756	29.476
14457-64-8	Aluminum Oxide	AlO					66944.0	40845.0	218.386	30.883
14457-85-3	Boron Hydride Sulfide	HBS					50208.0	16894.0	214.964	36.789
14459-59-7	Molybdenum Fluoride Oxide	F4MoO					-1255200.0	-1193739.0	330.617	96.74
14464-47-2	Deuterium, Ion	D+					1540324.0	1520622.0	117.583	20.786
14485-07-5	Carbon Dioxide, Ion	CO2-					-441412.0	-444030.0	240.648	36.593
14519-11-0	Magnesium Bromide	BrMg					-35342.0	-75942.0	244.946	35.639
14519-13-2	Strontium Bromide	BrSr					-89119.0	-128461.00000000001	263.751	36.856
14581-92-1	Magnesium, Ion	Mg+					891047.0	848495.0	154.41	20.786
14581-93-2	Oxygen, Ion	O+					1568786.0	1546912.0	154.959	20.786
14594-80-0	Boron, Ion	B+					1366717.0	1320895.0	138.542	20.786
14696-99-2	Strontium Iodide	ISr					-30494.0	-77736.0	272.213	37.135
14701-08-7	Beryllium, Ion	Be+					1219232.0	1173444.0	142.037	20.786
14701-12-3	Sulfur, Ion	S+					1282293.0	1236811.0	163.627	20.786
14701-13-4	Fluorine, Ion	F+					1766826.0	1742583.0	161.728	23.497
14701-18-9	Strontium, Ion	Sr+					719666.0	679211.0	170.403	20.786
14701-19-0	Zirconium, Ion	Zr+					1277880.0	1228462.0	183.639	28.282
14701-27-0	Lead, Ion	Pb+					916996.0	876051.0	181.137	20.786
14720-23-1	Bromodifluoroborane	BBrF2					-820064.0	-820559.0	286.387	56.45
14720-25-3	Dibromofluoroborane	BBr2F					-514631.99999999994	-529706.0	309.994	62.316
14720-30-0	Chlorodifluoroborane	BClF2					-885334.0	-871818.0	274.83	54.466
14720-31-1	Dichlorofluoroborane	BCl2F					-644336.0	-631625.0	287.675	59.063
14720-43-5	Beryllium Borate	B2BeO4					-1351432.0	-1320240.0	326.785	91.764
14728-76-8	Zirconium Iodide	IZr					591199.0	537871.0	275.805	36.931
14762-94-8	Fluorine	F					79390.0	62289.0	158.75	22.746
14782-23-1	Neon, Ion	Ne+					2086966.0	2077139.0000000002	158.307	22.119
14782-33-3	Vanadium, Ion	V+					1171947.0	1119646.0	183.376	23.149
14791-57-2	Bromosilylidyne	BrSi					235325.0	189859.0	247.418	38.731
