CAS	name	Hfg	S0g
110-17-8	fumaric acid	-671950	393.47
110-19-0	isobutyl acetate	-494700	445.1
110-33-8	dihexyl adipate	-1020000	903.89
110-39-4	octyl butanoate	-608100	679.69
110-43-0	2-heptanone	-300900	457.82
110-45-2	isopentyl formate	-453800	440.74
110-52-1	1,4-dibromobutane	-73230	413.91
110-53-2	1-bromopentane	-129160	409.56
110-54-3	hexane	-166900	388.74
110-56-5	1,4-dichlorobutane	-179000	389.42
110-57-6	1,4-dichloro-trans-2-butene	-66200	383.44
110-58-7	pentylamine	-112700	404.08
110-59-8	valeronitrile	11460	366.16
110-62-3	pentanal	-227800	382.86
110-63-4	1,4-butanediol	-428000	377.47
110-65-6	2-butyne-1,4-diol	-155000	358.54
110-66-7	pentyl mercaptan	-109800	415.52
110-67-8	3-methoxypropionitrile	-79000	364.45
110-68-9	methyl-butylamine	-86800	412.43
110-71-4	1,2-dimethoxyethane	-346000	385.65
110-74-7	propyl formate	-407600	368.47
110-80-5	2-ethoxyethanol	-400000	398.53
110-81-6	diethyl disulfide	-74100	414.46
110-82-7	cyclohexane	-123400	297.31
110-83-8	cyclohexene	-5000	310.51
110-85-0	piperazine	22300	322.27
110-86-1	pyridine	140400	282.5
110-88-3	trioxane	-465900	288.68
110-89-4	piperidine	-48900	337.12
110-91-8	morpholine	-156000	232.51
110-94-1	glutaric acid	-844000	445.21
110-96-3	diisobutylamine	-179200	486.32
110-97-4	diisopropanolamine	-454000	513.89
110-99-6	diglycolic acid	-945000	441.55
111-13-7	2-octanone	-321600	496.97
111-14-8	heptanoic acid	-538000	469.16
111-15-9	2-ethoxyethyl acetate	-611000	492.34
111-20-6	sebacic acid	-921900	641.31
111-24-0	1,5-dibromopentane	-93870	452.86
111-25-1	1-bromohexane	-140840	440.76
111-26-2	hexylamine	-133300	443.23
111-27-3	1-hexanol	-316800	440
111-29-5	1,5-pentanediol	-449000	434.33
111-31-9	hexyl mercaptan	-129200	455.01
111-34-2	butyl vinyl ether	-183000	428.73
111-36-4	butyl isocyanate	-127000	382.61
111-40-0	diethylene triamine	-5860	444.88
111-41-1	N-aminoethyl ethanolamine	-191000	447.83
111-42-2	diethanolamine	-396880	429.54
111-43-3	dipropyl ether	-293100	424.24
111-46-6	diethylene glycol	-571200	440.07
111-47-7	dipropyl sulfide	-125200	451.45
111-49-9	hexamethyleneimine	-34180	357.29
111-55-7	ethylene glycol diacetate	-807000	507.84
111-65-9	octane	-208800	467.05
111-66-0	1-octene	-83600	464.83
111-68-2	heptylamine	-154000	482.72
111-69-3	adiponitrile	149500	400.59
111-70-6	1-heptanol	-336500	479.16
111-71-7	1-heptanal	-269400	461.51
111-76-2	2-butoxyethanol	-441000	480.19
111-77-3	2-(2-methoxyethoxy)ethanol	-530000	573.8
111-78-4	1,5-cyclooctadiene	101100	350.71
111-82-0	methyl dodecanoate	-612300	729.91
111-83-1	1-bromooctane	-182120	518.67
111-84-2	nonane	-229030	507.08
111-85-3	1-chlorooctane	-234890	465.15
111-86-4	octylamine	-174600	521.87
111-87-5	1-octanol	-357000	518.65
111-88-6	octyl mercaptan	-170100	533.32
111-90-0	2-(2-ethoxyethoxy)ethanol	-565000	519.04
111-92-2	dibutylamine	-156600	502.86
111-96-6	diethylene glycol dimethyl ether	-511000	503.95
112-05-0	nonanoic acid	-578000	550.83
112-06-1	heptyl acetate	-547100	561.22
112-12-9	2-undecanone	-383600	615.44
112-14-1	octyl acetate	-567900	600.38
112-15-2	diethylene glycol ethyl ether acetate	-776000	612.11
112-17-4	decyl acetate	-609300	679.02
112-18-5	dimethyldodecylamine	-264760	717.42
112-20-9	nonylamine	-195200	561.36
112-23-2	heptyl formate	-489800	526.77
