"CASRN"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"
"856766-70-6"	"1,1,1,3,3,3-Hexafluoropropan-2-yl formate"	"HCOOCH(CF3)2"	3.2	0.33	1220	333	535	62	46
"209597-28-4"	"Perfluorobutyl acetate"	"CH3COOCF2CF2CF2CF3"	0.06	0.12	6	2	2		
"1344118-10-0"	"Perfluoropropyl acetate"	"CH3COOCF2CF2CF3"	0.06	0.11	6	2	2		
"343269-97-6"	"Perfluoroethyl acetate"	"CH3COOCF2CF3"	0.06	0.1	8	2	2		
"74123-20-9"	"Trifluoromethyl acetate"	"CH3COOCF3"	0.06	0.07	8	2	2		
"1538-06-3"	"Methyl carbonofluoridate"	"FCOOCH3"	1.8	0.07	350	95	126	17	13
"1344118-11-1"	"1,1-Difluoroethyl carbonofluoridate"	"FCOOCF2CH3"	0.3	0.17	99	27	30	5	4
"1344118-13-3"	"1,1-Difluoroethyl 2,2,2-trifluoroacetate"	"CF3COOCF2CH3"	0.3	0.27	113	31	34	5	4
"383-63-1"	"Ethyl 2,2,2-trifluoroacetate"	"CF3COOCH2CH3"	0.06	0.05	5	1	1		
"407-38-5"	"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate"	"CF3COOCH2CF3"	0.15	0.15	25	7	7	1	
"431-47-0"	"Methyl 2,2,2-trifluoroacetate"	"CF3COOCH3"	0.6	0.18	192	52	60	9	7
"433-53-4"	"Methyl 2,2-difluoroacetate"	"HCF2COOCH3"	0.11	0.05	12	3	4		
"2024-86-4"	"Difluoromethyl 2,2,2-trifluoroacetate"	"CF3COOCHF2"	0.3	0.24	99	27	30	5	4
"375-01-9"	"2,2,3,3,4,4,4-Heptafluorobutan-1-ol"	"C3F7CH2OH"	0.6	0.2	124	34	38	6	5
"84011-06-3"	"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane"	"CHF2CHFOCF3"	9.8	0.35	3970	1240	2960	467	178
"380-34-7"	"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane"	"CF3CHFCF2OCH2CH3"	0.4	0.19	86	23	26	4	3
"3330-15-2"	"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2- tetrafluoroethoxy)-propane"	"CF3CF2CF2OCHFCF3"	67	0.58	7940	6490	8140	6960	4380
"76-37-9"	"2,2,3,3-Tetrafluoro-1-propanol"	"CHF2CF2CH2OH"	0.25	0.11	48	13	14	2	2
"382-31-0"	"2,2,3,4,4,4-Hexafluoro-1-butanol"	"CF3CHFCF2CH2OH"	0.26	0.19	63	17	19	3	2
"60598-17-6"	"1,1,2,2-Tetrafluoro-3-methoxy-propane"	"CHF2CF2CH2OCH3"	0.04	0.03	2				
"756-13-8"	"perfluoro-2-methyl-3-pentanone"	"CF3CF2C(O)CF(CF3)2"	0.02	0.03					
"460-40-2"	"3,3,3-Trifluoro-propanal"	"CF3CH2CHO"	0.01	0					
"371-62-0"	"2-Fluoroethanol"	"CH2FCH2OH"	0.06	0.02	3				
"359-13-7"	"2,2-Difluoroethanol"	"CHF2CH2OH"	0.11	0.04	11	3	3		
"75-89-8"	"2,2,2-Trifluoroethanol"	"CF3CH2OH"	0.3	0.1	73	20	22	3	3
"205367-61-9"	"1,1-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane"	"HCF2O(CF2CF2O)2CF2H"	26	1.15	9910	4920	9320	4460	1360
"173350-37-3"	"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexa- decafluoro-2,5,8,11-Tetraoxadodecane"	"HCF2O(CF2CF2O)3CF2H"	26	1.43	9050	4490	8520	4080	1250
"173350-38-4"	"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eico- safluoro-2,5,8,11,14-Pentaoxapentadecane"	"HCF2O(CF2CF2O)4CF2H"	26	1.46	7320	3630	6880	3300	1010
