CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
598-79-8	19100.0	9400.0	12400.0
598-92-5	16800.0	13500.0	4700.0
600-25-9	16800.0	13000.0	4500.0
609-40-5	19700.0	16200.0	8200.0
611-06-3	20400.0	8700.0	4200.0
611-13-2	17400.0	6900.0	9700.0
611-15-4	18500.0	2400.0	2400.0
614-72-2	19200.0	8100.0	4400.0
615-65-6	19700.0	7400.0	8900.0
615-74-7	19000.0	7700.0	13100.0
616-02-4	19200.0	17000.0	11200.0
616-23-9	17500.0	9200.0	14600.0
616-38-6	15500.0	3900.0	9700.0
616-45-5	19400.0	17400.0	11300.0
617-84-5	16400.0	11400.0	9200.0
617-90-3	18400.0	15000.0	8200.0
618-42-8	18500.0	10000.0	6500.0
620-20-2	19900.0	9300.0	2600.0
622-08-2	17800.0	5900.0	12200.0
622-24-2	19300.0	6300.0	2200.0
622-61-7	19300.0	6300.0	4400.0
623-00-7	20400.0	9300.0	5800.0
623-03-0	19500.0	8000.0	4100.0
623-12-1	19600.0	7800.0	6700.0
624-48-6	16300.0	8300.0	9800.0
624-54-4	15800.0	5200.0	5700.0
624-61-3	18500.0	8400.0	8800.0
624-65-7	16700.0	7400.0	2300.0
624-67-9	16200.0	11900.0	8700.0
