CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
107120	180.37	180	370	561.2979		4259904.1			15500	51460		189.33				36300	308.7	370.5	19.842113	2386.4545	-83.76
107131	189.63	189.5496	351	540		4660000			143406.83	176006.83		178.91				31856.866	222	351	20.876641	2891.9064	-41.853
107142			398.92868																		
107153	284.29	284.15	391	613.1		6707000			-63010	-17000		202.42				46000	299.66	390.6	21.238308	2998.5553	-81.788
107186			370	545.1						-123600						45858.28	294	370.23	31.735425	10385.149	143.647
107197		221.35	386.79901																		
107200			358.2																		
107211	257.25708	261	470.5	713.73611		9703633.2			-458922.15	-392862.09		171.37342	311.84			65000	323	473	22.95705	4409.3376	-84.996
107222			323.6							-212000											
107255		151.55	278.6025																		
107266								-106900		-30300				76600							
107277								-143800		-67700				76100							
107299		298.65	388.10274					-85800	-71580	-22550						49030					
107302			330.90106																		
107313		173.2217	305	498.7		6086166.7	0.00017188037		-375372.16	-346146.49						29000	294	304.9	12.090805	15.022065	-278.54
107357											154										
107379			390.6														318.9	388.3	20.098805	2569.685	-90
107391	176.29923	179.5	375									309				35700					
107404	166	166.74304	378									298.7				38888.946					
107415			470.8417													68810.426					
107459			413.19803																		
107460	204.93		373	518.7		1925000						433.80438					309.4	411.56	20.497589	2772.119	-64.673
107471			422.2						-232407.06	-188098.54						44119.886					
107506		238																			
107540			423.6976																		
107755																75300					
107802			447.21333						-147800	-97280						49500					
107813			390													38500					
107824			394														252.8	393.6	21.300777	3408.717	-44.998
107835	119.60363	120	334	497.8		3035000	0.000368		-204300	-174300		291.2392				29000	285.91	334.22	20.640373	2614.3781	-46.578
107846			372	560					-208000	-171000						37019.732					
107857			366						-210000												
107868			407.2																		
107879	196.31596	196	375	561.1778		3710547.7	0.00030120482		-297300	-259100		273.38664				38406.265	329.8	384.8	21.051223	3019.0229	-58.457
107880			480						-501157.3	-433157.3						72865.893	295.4	479.7	31.271109	14057.667	230.59
107915		387.3						-175600													
